"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"P001","Internet i comunicacions","WiFi BCN","430741.558","4581199.973","430649.623","4580999.048","2.17065","41.377525","Centre d'Informació i Assessorament per a Joves","01","01","Ciutat Vella","el Raval","C Sant Oleguer, 6*8",""
"P001","Internet i comunicacions","WiFi BCN","431262.571","4581942.702","431170.632","4581741.77","2.176796","41.384259","Museu Frederic Marès","01","02","Ciutat Vella","el Barri Gòtic","Pl Sant Iu, 5","932563500"
"P001","Internet i comunicacions","WiFi BCN","426955.034","4583643.152","426863.135","4583442.206","2.125078","41.399194","Punt de connexió Barcelona WiFi a la cruïlla del carrer Via Augusta amb Hort de la Vila","05","24","Sarrià-Sant Gervasi","les Tres Torres","Via Augusta, 334",""
"P001","Internet i comunicacions","WiFi BCN","433112.575","4584392.737","433020.619","4584191.782","2.198649","41.406482","Punt de connexió Barcelona WiFi a la cruïlla del carrer Bilbao amb Avinguda Diagonal","10","68","Sant Martí","el Poblenou","Av Diagonal, 137",""
"P001","Internet i comunicacions","WiFi BCN","428797.832","4581905.898","428705.915","4581704.967","2.147325","41.383713","Punt de connexió Barcelona WiFi a la cruïlla dels carrers Rocafort amb Provença","02","09","Eixample","la Nova Esquerra de l'Eixample","C Rocafort, 203",""
"P001","Internet i comunicacions","WiFi BCN","431856.511","4583752.012","431764.567","4583551.063","2.183695","41.400605","Punt de connexió Barcelona WiFi a la cruïlla de Padilla amb la Gran Via de les Corts Catalanes","02","05","Eixample","el Fort Pienc","G.V. Corts Catalanes, 814",""
"P001","Internet i comunicacions","WiFi BCN","434104.061","4584551.92","434012.096","4584350.963","2.210493","41.407997","Casal de Barri Diagonal Mar","10","69","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou","C Selva de Mar, 22*32","933 079 120"
"P001","Internet i comunicacions","WiFi BCN","430294.371","4583211.146","430202.441","4583010.203","2.165072","41.3956","Punt de connexió Barcelona WiFi a la cruïlla del carrer Mallorca amb carrer de Roger de Llúria","02","07","Eixample","la Dreta de l'Eixample","C Mallorca, 278",""
"P001","Internet i comunicacions","WiFi BCN","428563.111","4582146.3","428471.197","4581945.367","2.14449","41.385857","Punt de connexió Barcelona WiFi a la cruïlla dels carrers Rocafort amb carrer Còrsega","02","09","Eixample","la Nova Esquerra de l'Eixample","C Rocafort, 245",""
"P001","Internet i comunicacions","WiFi BCN","429166.082","4582094.166","429074.162","4581893.233","2.151707","41.385441","Punt de connexió Barcelona WiFi a la cruïlla dels carrers Comte Borrell amb carrer Mallorca","02","09","Eixample","la Nova Esquerra de l'Eixample","C Comte Borrell, 213",""
"P001","Internet i comunicacions","WiFi BCN","427757.208","4579065.125","427665.3","4578864.221","2.13522","41.358034","Casal de Gent Gran Sant Cristòfol","03","13","Sants-Montjuïc","la Marina de Port","C Bronze, 5*7","933312997"
"P001","Internet i comunicacions","WiFi BCN","432042.92","4582114.609","431950.973","4581913.675","2.186109","41.385874","Parc de la Ciutadella","01","04","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera","Pg Picasso, 21","010"
"P001","Internet i comunicacions","WiFi BCN","429288.772","4580254.716","429196.85","4580053.8","2.153389","41.368885","Museu Nacional d'Art de Catalunya","03","11","Sants-Montjuïc","el Poble-sec","C Mirador Palau Nacional, 6*10","936220376"
"P001","Internet i comunicacions","WiFi BCN","429418.881","4582008.357","429326.959","4581807.425","2.15474","41.38469","Punt de connexió Barcelona WiFi a la cruïlla del carrer Aragó amb carrer del Comte d'Urgell","02","09","Eixample","la Nova Esquerra de l'Eixample","C Aragó, 147",""
